"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"CNGUQK4K","journalArticle","2007","Frazier, TW; Youngstrom, EA; Naugle, RI","The latent structure of attention-deficit/hyperactivity disorder in a clinic-referred sample","NEUROPSYCHOLOGY","","0894-4105","10.1037/0894-4105.21.1.45","","","2007-01","2025-04-20 13:39:13","2025-04-20 16:29:48","","45-64","","1","21","","","","","","","","","","","","","","WOS:000243215400005","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/17201529","30; 40; Adolescence (13-17 yrs); Adulthood (18 yrs &amp; Aged (65 yrs &amp; Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Middle Age (40-64 yrs); older); Preschool Age (2-5 yrs); School Age (6-12 yrs); Subtypes (Disorders); Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adolescent; Adult; Attention; Female; Humans; Male; Neuropsychological Tests; Problem Solving; Psychiatric Status Rating Scales; Referral and Consultation","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FTJ2INT8","journalArticle","2011","Marcus, DK; Barry, TD","Does Attention-Deficit/Hyperactivity Disorder Have a Dimensional Latent Structure? A Taxometric Analysis","JOURNAL OF ABNORMAL PSYCHOLOGY","","0021-843X","10.1037/a0021405","","","2011-05","2025-04-20 13:39:13","2025-04-20 16:29:51","","427-442","","2","120","","","","","","","","","","","","","","WOS:000290595900014","","","","","/Users/tita/Zotero/storage/QPL7UH5C/Marcus and Barry - 2011 - Does attention-deficithyperactivity disorder have a dimensional latent structure A taxometric anal.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/20973595","30; 40; Adulthood (18 yrs &amp; Attention Deficit Disorder with Hyperactivity; Causal Analysis; Childhood (birth-12 yrs); older); School Age (6-12 yrs); Taxonomies","Attention; Child; Child Behavior; Factor Analysis, Statistical; Female; Humans; Hyperkinesis; Male; Psychiatric Status Rating Scales; Surveys and Questionnaires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TZTT2YV2","journalArticle","2007","Lenzenweger, MF; McLachlan, G; Rubin, DB","Resolving the latent structure of schizophrenia endophenotypes using expectation-maximization-based finite mixture modeling","JOURNAL OF ABNORMAL PSYCHOLOGY","","0021-843X","10.1037/0021-843X.116.1.16","","","2007-02","2025-04-20 13:39:13","2025-04-20 16:29:49","","16-29","","1","116","","","","","","","","","","","","","","WOS:000244162200002","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/17324013","Adulthood (18 yrs &amp; At Risk Populations; Cognitive Impairment; Endophenotype; Item Response Theory; Middle Age (40-64 yrs); Mixture Modeling; older); Phenotypes; Schizophrenia; Statistical Analysis; Susceptibility (Disorders); Sustained Attention; Thirties (30-39 yrs); Visual Tracking; Young Adulthood (18-29 yrs)","Attention; Cognition Disorders; Eye Movements; Female; Humans; Male; Middle Aged; Phenotype","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VV72G6JG","journalArticle","2014","Salum, GA; Sonuga-Barke, E; Sergeant, J; Vandekerckhove, J; Gadelha, A; Moriyama, TS; Graeff-Martins, AS; Manfro, GG; Polanczyk, G; Rohde, LAP","Mechanisms underpinning inattention and hyperactivity: neurocognitive support for ADHD dimensionality","PSYCHOLOGICAL MEDICINE","","0033-2917","10.1017/S0033291714000919","","","2014-11","2025-04-20 13:39:13","2025-04-20 16:29:50","","3189-3201","","15","44","","","","","","","","","","","","","","WOS:000344467900005","","","","","; /Users/tita/Zotero/storage/CU47BPTN/Salum et al. - 2014 - Mechanisms underpinning inattention and hyperactivity neurocognitive support for ADHD dimensionalit.pdf","http://www.ncbi.nlm.nih.gov/pubmed/25065454","30; 40; Attention; Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Hyperactivity; Neurocognition; Neuropsychology; School Age (6-12 yrs)","Brazil; Child; Cognition; Executive Function; Female; Humans; Inhibition, Psychological; Male; Severity of Illness Index","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NPECUCK7","journalArticle","2003","Beauchaine, TP","Taxometrics and developmental psychopathology","DEVELOPMENT AND PSYCHOPATHOLOGY","","0954-5794","10.1017/S0954579403000270","","","2003","2025-04-20 13:39:13","2025-04-20 16:29:49","","501-527","","3","15","","","","","","","","","","","","","","WOS:000185309300002","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/14582930","","Algorithms; Attention Deficit Disorder with Hyperactivity; Child; Cluster Analysis; Diagnostic and Statistical Manual of Mental Disorders; Environment; Humans; Personality Development; Personality Disorders; Psychology, Child; Risk Factors; Sampling Studies; Schizophrenia; Schizophrenic Psychology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"BK7BPS3Y","journalArticle","2018","Stevens, MC; Pearlson, GD; Calhoun, VD; Bessette, KL","Functional Neuroimaging Evidence for Distinct Neurobiological Pathways in Attention-Deficit/Hyperactivity Disorder","BIOLOGICAL PSYCHIATRY-COGNITIVE NEUROSCIENCE AND NEUROIMAGING","","2451-9022","10.1016/j.bpsc.2017.09.005","","","2018-08","2025-04-20 13:39:13","2025-04-20 16:29:51","","675-685","","8","3","","","","","","","","","","","","","","WOS:000494352300005","","","","","/Users/tita/Zotero/storage/NWKWB6FM/Stevens et al. - 2018 - Functional Neuroimaging Evidence for Distinct Neurobiological Pathways in Attention-DeficitHyperact.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/30092917","","ADHD; Adolescent; Attention Deficit Disorder with Hyperactivity; Child; Cognitive Dysfunction; Executive Function; Female; fMRI; Functional Neuroimaging; Humans; Inhibition; Inhibition, Psychological; Magnetic Resonance Imaging; Male; Pathway; Psychomotor Performance; Reward; Subgroup","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"9CFXZRHP","journalArticle","2008","Ingram, DG; Takahashi, TN; Miles, JH","Defining autism subgroups: A taxometric solution","JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS","","0162-3257","10.1007/s10803-007-0469-y","","","2008-05","2025-04-20 13:39:13","2025-04-20 16:29:52","","950-960","","5","38","","","","","","","","","","","","","","WOS:000255412700015","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/17985224","30; 40; Autism Spectrum Disorders; Behavior; Childhood (birth-12 yrs); Phenotypes; Physical Development","Autistic Disorder; Diagnosis, Differential; Female; Humans; Male; Observer Variation; Surveys and Questionnaires","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HU9LFE4P","journalArticle","2013","Barry, TD; Marcus, DK; Barry, CT; Coccaro, EF","The latent structure of oppositional defiant disorder in children and adults","JOURNAL OF PSYCHIATRIC RESEARCH","","0022-3956","10.1016/j.jpsychires.2013.08.016","","","2013-12","2025-04-20 13:39:13","2025-04-20 16:29:47","","1932-1939","","12","47","","","","","","","","","","","","","","WOS:000327110300014","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SMPEYTVK","journalArticle","2023","Deserno, MK; Bathelt, J; Groenman, AP; Geurts, HM","Probing the overarching continuum theory: data-driven phenotypic clustering of children with ASD or ADHD","EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","","1018-8827","10.1007/s00787-022-01986-9","","","2023-10","2025-04-20 13:39:13","2025-04-20 16:29:50","","1909-1923","","10","32","","","","","","","","","","","","","","WOS:000809297000001","","","","","/Users/tita/Zotero/storage/FN8FJ52U/Deserno et al. - 2023 - Probing the overarching continuum theory data-driven phenotypic clustering of children with ASD or.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/35687205","","ADHD; Attention Deficit Disorder with Hyperactivity; Autism; Autism Spectrum Disorder; Child; Data-driven clustering; Humans; Neurodevelopmental Disorders; Overarching continuum theory; Phenotype; Psychiatric nosology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6VPEMLQF","journalArticle","2017","Martel, MM; Schimmack, U; Nigg, JT","Future Directions for Work on Refinement of ADHD Assessment in Young Adults: Response to Sibley, Coxe, and Molina","ASSESSMENT","","1073-1911","10.1177/1073191116687392","","","2017-04","2025-04-20 13:39:13","2025-04-20 13:39:13","","297-299","","3","24","","","","","","","","","","","","","","WOS:000401570900003","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"IHA9ZJED","journalArticle","2023","Frazier, TW; Chetcuti, L; Al-Shaban, FA; Haslam, N; Ghazal, I; Klingemier, EW; Aldosari, M; Whitehouse, AJO; Youngstrom, EA; Hardan, AY; Uljarevic, M","Categorical versus dimensional structure of autism spectrum disorder: A multi-method investigation","JCPP ADVANCES","","2692-9384","10.1002/jcv2.12142","","","2023-06","2025-04-20 13:39:13","2025-04-20 16:29:52","","","","2","3","","","","","","","","","","","","","","WOS:001283278400015","","","","","/Users/tita/Zotero/storage/DHYHEFDF/Frazier et al. - 2023 - Categorical versus dimensional structure of autism spectrum disorder A multi-method investigation.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/37753161","","autism; categorical; dimensional; latent; taxometric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8RJD6VW","journalArticle","2017","Herpers, PCM; Klip, H; Rommelse, NNJ; Taylor, MJ; Greven, CU; Buitelaar, JK","Taxometric analyses and predictive accuracy of callous-unemotional traits regarding quality of life and behavior problems in non-conduct disorder diagnoses","PSYCHIATRY RESEARCH","","0165-1781","10.1016/j.psychres.2017.04.004","","","2017-07","2025-04-20 13:39:13","2025-04-20 16:29:49","","351-359","","","253","","","","","","","","","","","","","","WOS:000403739100052","","","","","; /Users/tita/Zotero/storage/HYZFP8NI/Herpers et al. - 2017 - Taxometric analyses and predictive accuracy of callous-unemotional traits regarding quality of life.pdf","http://www.ncbi.nlm.nih.gov/pubmed/28427034","30; 40; Adolescence (13-17 yrs); Affective Disorders; Anxiety; Callous-Unemotional Traits; Childhood (birth-12 yrs); Conduct Disorder; School Age (6-12 yrs); Symptoms","ADHD; Adolescent; Anxiety/mood disorders; Autism; Callous-unemotional traits; Child; Conduct disorder; Emotions; Humans; Male; Oppositional-defiant disorder; Parents; Personality; Personality Inventory; Predictive Value of Tests; Problem Behavior; Quality of life; Quality of Life; Reference Values; ROC Curve; Taxon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GTU2G74G","journalArticle","2017","Martel, MM; Levinson, CA; Lee, CA; Smith, TE","Impulsivity Symptoms as Core to the Developmental Externalizing Spectrum","JOURNAL OF ABNORMAL CHILD PSYCHOLOGY","","0091-0627","10.1007/s10802-016-0148-6","","","2017-01","2025-04-20 13:39:13","2025-04-20 13:39:13","","83-90","","1","45","","","","","","","","","","","","","","WOS:000392071900007","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SU6ILGSM","journalArticle","2010","Frazier, TW; Youngstrom, EA; Sinclair, L; Kubu, CS; Law, P; Rezai, A; Constantino, JN; Eng, C","Autism Spectrum Disorders as a Qualitatively Distinct Category From Typical Behavior in a Large, Clinically Ascertained Sample","ASSESSMENT","","1073-1911","10.1177/1073191109356534","","","2010-09","2025-04-20 13:39:13","2025-04-20 16:29:52","","308-320","","3","17","","","","","","","","","","","","","","WOS:000280610400003","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/20040725","30; 40; Autism Spectrum Disorders; Behavior; Diagnosis; Diagnostic and Statistical Manual; Early Intervention; Family","Caregivers; Child; Child Development Disorders, Pervasive; Classification; Databases, Factual; Diagnostic and Statistical Manual of Mental Disorders; Family Relations; Female; Humans; Interview, Psychological; Male; Models, Psychological; Monte Carlo Method; Psychometrics; Qualitative Research; Registries; Statistics as Topic; Surveys and Questionnaires; Time Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZWVKJAGN","journalArticle","2019","Archibald, LMD; Cardy, JO; Ansari, D; Olino, T; Joanisse, MF","The consistency and cognitive predictors of children's oral language, reading, and math learning profiles","LEARNING AND INDIVIDUAL DIFFERENCES","","1041-6080","10.1016/j.lindif.2019.02.003","","","2019-02","2025-04-20 13:39:13","2025-04-20 13:39:13","","130-141","","","70","","","","","","","","","","","","","","WOS:000463307500013","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGRVTDGX","journalArticle","2016","James, RJE; Dubey, I; Smith, D; Ropar, D; Tunney, RJ","The Latent Structure of Autistic Traits: A Taxometric, Latent Class and Latent Profile Analysis of the Adult Autism Spectrum Quotient","JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS","","0162-3257","10.1007/s10803-016-2897-z","","","2016-12","2025-04-20 13:39:13","2025-04-20 16:29:48","","3712-3728","","12","46","","","","","","","","","","","","","","WOS:000388621400008","","","","","/Users/tita/Zotero/storage/TWBYYKS9/James et al. - 2016 - The Latent Structure of Autistic Traits A Taxometric, Latent Class and Latent Profile Analysis of t.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/27620625","30; 40; Adolescence (13-17 yrs); Adulthood (18 yrs &amp; Aged (65 yrs &amp; Autism Spectrum Disorders; Latent Class Analysis; Latent Profile Analysis; Measurement; Middle Age (40-64 yrs); older); Psychometrics; Taxonomies; Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adolescent; Adult; Aged; Autism quotient; Autism Spectrum Disorder; Autistic traits; Female; Humans; Latent class analysis; Latent structure analysis; Male; Middle Aged; Models, Psychological; Nosology; Surveys and Questionnaires; Taxometric analysis; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4X5MVW6R","journalArticle","2020","Haslam, N; McGrath, MJ; Viechtbauer, W; Kuppens, P","Dimensions over categories: a meta-analysis of taxometric research","PSYCHOLOGICAL MEDICINE","","0033-2917","10.1017/S003329172000183X","","","2020-07","2025-04-20 13:39:13","2025-04-20 16:29:51","","1418-1432","","9","50","","","","","","","","","","","","","","WOS:000553814400002","","","","","/Users/tita/Zotero/storage/HWG7AU3E/Haslam et al. - 2020 - Dimensions over categories a meta-analysis of taxometric research.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/32493520","Alcohol Use Disorder; Autism Spectrum Disorders; Explosive Disorder; Gambling Disorder; Individual Differences; Models; Pedophilia; Personality; Psychopathology; Suicide; Taxonomies","Category; classification; dimension; Humans; Mental Disorders; Personality Assessment; Personality Disorders; Research Design; taxometric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"VS7HYZHP","book","2019","Tomblin, JB","DEVELOPMENTAL LANGUAGE DISORDER","","978-1-315-11062-2","","","","","2019","2025-04-20 13:39:13","2025-04-20 13:39:13","","","341","","","","","","INTERNATIONAL HANDBOOK OF LANGUAGE ACQUISITION","","","","","","","","","","WOS:000575154600019","","","Pages: 361 DOI: 10.4324/9781315110622","","","","","","Horst, JS; Torkildsen, JV","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"KS4TTCBL","journalArticle","2016","Zavattini, GC","The parents' reaction to diagnosis of their children","PSICOLOGIA CLINICA DELLO SVILUPPO","","1824-078X","10.1449/85041","","","2016-12","2025-04-20 13:39:13","2025-04-20 13:39:13","","331-353","","3","20","","","","","","","","","","","","","","WOS:000393111800001","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z9CPXSU9","journalArticle","2012","Haslam, N; Holland, E; Kuppens, P","Categories versus dimensions in personality and psychopathology: a quantitative review of taxometric research","PSYCHOLOGICAL MEDICINE","","0033-2917","10.1017/S0033291711001966","","","2012-05","2025-04-20 13:39:13","2025-04-20 16:29:52","","903-920","","5","42","","","","","","","","","","","","","","WOS:000302379800003","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/21939592","","Humans; Mental Disorders; Personality; Personality Assessment; Personality Disorders; Psychopathology; Research Design","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCT5A6DS","journalArticle","2008","Munson, J; Dawson, G; Sterling, L; Beauchaine, T; Zhou, A; Koehler, E; Lord, C; Rogers, S; Sigman, M; Estes, A; Abbott, R","Evidence for Latent Classes of IQ in Young Children With Autism Spectrum Disorder","AMERICAN JOURNAL ON MENTAL RETARDATION","","0895-8017","10.1352/2008.113:439-452","","","2008-11","2025-04-20 13:39:13","2025-04-20 16:29:51","","439-452","","6","113","","","","","","","","","","","","","","WOS:000260551000003","","","","","/Users/tita/Zotero/storage/7CQZND6V/Munson et al. - 2008 - Evidence for latent classes of IQ in young children with autism spectrum disorder.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/19127655","30; 40; Adulthood (18 yrs &amp; Aged (65 yrs &amp; Autism Spectrum Disorders; Intelligence Quotient; Middle Age (40-64 yrs); older); Subtypes (Disorders); Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adult; Autistic Disorder; Cognition Disorders; Female; Humans; Intelligence; Male; Neuropsychological Tests; Nonverbal Communication; Severity of Illness Index; Verbal Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWU3UUXM","journalArticle","1999","Verhoeff, NPLG; Soares, JC; D'Souza, CD; Gil, R; Degen, K; Abi-Dargham, A; Zoghbi, SS; Fujita, M; Rajeevan, N; Seibyl, JP; Krystal, JH; van Dyck, CH; Charney, DS; Innis, RB","[123I]Iomazenil SPECT benzodiazepine receptor imaging in schizophrenia","PSYCHIATRY RESEARCH-NEUROIMAGING","","0925-4927","10.1016/S0925-4927(99)00027-X","","","1999-10-11","2025-04-20 13:39:13","2025-04-20 16:29:53","","163-173","","3","91","","","","","","","","","","","","","","WOS:000083653500004","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/10641580","","Adult; Brain; Brain Mapping; Cerebral Cortex; Dominance, Cerebral; Female; Flumazenil; Frontal Lobe; Humans; Iodine Radioisotopes; Male; Middle Aged; Psychiatric Status Rating Scales; Receptors, GABA-A; Schizophrenia; Tomography, Emission-Computed, Single-Photon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
