"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SMPEYTVK","journalArticle","2023","Deserno, MK; Bathelt, J; Groenman, AP; Geurts, HM","Probing the overarching continuum theory: data-driven phenotypic clustering of children with ASD or ADHD","EUROPEAN CHILD & ADOLESCENT PSYCHIATRY","","1018-8827","10.1007/s00787-022-01986-9","","","2023-10","2025-04-20 13:39:13","2025-04-20 16:29:50","","1909-1923","","10","32","","","","","","","","","","","","","","WOS:000809297000001","","","","","/Users/tita/Zotero/storage/FN8FJ52U/Deserno et al. - 2023 - Probing the overarching continuum theory data-driven phenotypic clustering of children with ASD or.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/35687205","","ADHD; Attention Deficit Disorder with Hyperactivity; Autism; Autism Spectrum Disorder; Child; Data-driven clustering; Humans; Neurodevelopmental Disorders; Overarching continuum theory; Phenotype; Psychiatric nosology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y8RJD6VW","journalArticle","2017","Herpers, PCM; Klip, H; Rommelse, NNJ; Taylor, MJ; Greven, CU; Buitelaar, JK","Taxometric analyses and predictive accuracy of callous-unemotional traits regarding quality of life and behavior problems in non-conduct disorder diagnoses","PSYCHIATRY RESEARCH","","0165-1781","10.1016/j.psychres.2017.04.004","","","2017-07","2025-04-20 13:39:13","2025-04-20 16:29:49","","351-359","","","253","","","","","","","","","","","","","","WOS:000403739100052","","","","","; /Users/tita/Zotero/storage/HYZFP8NI/Herpers et al. - 2017 - Taxometric analyses and predictive accuracy of callous-unemotional traits regarding quality of life.pdf","http://www.ncbi.nlm.nih.gov/pubmed/28427034","30; 40; Adolescence (13-17 yrs); Affective Disorders; Anxiety; Callous-Unemotional Traits; Childhood (birth-12 yrs); Conduct Disorder; School Age (6-12 yrs); Symptoms","ADHD; Adolescent; Anxiety/mood disorders; Autism; Callous-unemotional traits; Child; Conduct disorder; Emotions; Humans; Male; Oppositional-defiant disorder; Parents; Personality; Personality Inventory; Predictive Value of Tests; Problem Behavior; Quality of life; Quality of Life; Reference Values; ROC Curve; Taxon","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SU6ILGSM","journalArticle","2010","Frazier, TW; Youngstrom, EA; Sinclair, L; Kubu, CS; Law, P; Rezai, A; Constantino, JN; Eng, C","Autism Spectrum Disorders as a Qualitatively Distinct Category From Typical Behavior in a Large, Clinically Ascertained Sample","ASSESSMENT","","1073-1911","10.1177/1073191109356534","","","2010-09","2025-04-20 13:39:13","2025-04-20 16:29:52","","308-320","","3","17","","","","","","","","","","","","","","WOS:000280610400003","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/20040725","30; 40; Autism Spectrum Disorders; Behavior; Diagnosis; Diagnostic and Statistical Manual; Early Intervention; Family","Caregivers; Child; Child Development Disorders, Pervasive; Classification; Databases, Factual; Diagnostic and Statistical Manual of Mental Disorders; Family Relations; Female; Humans; Interview, Psychological; Male; Models, Psychological; Monte Carlo Method; Psychometrics; Qualitative Research; Registries; Statistics as Topic; Surveys and Questionnaires; Time Factors","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"JGRVTDGX","journalArticle","2016","James, RJE; Dubey, I; Smith, D; Ropar, D; Tunney, RJ","The Latent Structure of Autistic Traits: A Taxometric, Latent Class and Latent Profile Analysis of the Adult Autism Spectrum Quotient","JOURNAL OF AUTISM AND DEVELOPMENTAL DISORDERS","","0162-3257","10.1007/s10803-016-2897-z","","","2016-12","2025-04-20 13:39:13","2025-04-20 16:29:48","","3712-3728","","12","46","","","","","","","","","","","","","","WOS:000388621400008","","","","","/Users/tita/Zotero/storage/TWBYYKS9/James et al. - 2016 - The Latent Structure of Autistic Traits A Taxometric, Latent Class and Latent Profile Analysis of t.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/27620625","30; 40; Adolescence (13-17 yrs); Adulthood (18 yrs &amp; Aged (65 yrs &amp; Autism Spectrum Disorders; Latent Class Analysis; Latent Profile Analysis; Measurement; Middle Age (40-64 yrs); older); Psychometrics; Taxonomies; Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adolescent; Adult; Aged; Autism quotient; Autism Spectrum Disorder; Autistic traits; Female; Humans; Latent class analysis; Latent structure analysis; Male; Middle Aged; Models, Psychological; Nosology; Surveys and Questionnaires; Taxometric analysis; Young Adult","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"4X5MVW6R","journalArticle","2020","Haslam, N; McGrath, MJ; Viechtbauer, W; Kuppens, P","Dimensions over categories: a meta-analysis of taxometric research","PSYCHOLOGICAL MEDICINE","","0033-2917","10.1017/S003329172000183X","","","2020-07","2025-04-20 13:39:13","2025-04-20 16:29:51","","1418-1432","","9","50","","","","","","","","","","","","","","WOS:000553814400002","","","","","/Users/tita/Zotero/storage/HWG7AU3E/Haslam et al. - 2020 - Dimensions over categories a meta-analysis of taxometric research.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/32493520","Alcohol Use Disorder; Autism Spectrum Disorders; Explosive Disorder; Gambling Disorder; Individual Differences; Models; Pedophilia; Personality; Psychopathology; Suicide; Taxonomies","Category; classification; dimension; Humans; Mental Disorders; Personality Assessment; Personality Disorders; Research Design; taxometric","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"PCT5A6DS","journalArticle","2008","Munson, J; Dawson, G; Sterling, L; Beauchaine, T; Zhou, A; Koehler, E; Lord, C; Rogers, S; Sigman, M; Estes, A; Abbott, R","Evidence for Latent Classes of IQ in Young Children With Autism Spectrum Disorder","AMERICAN JOURNAL ON MENTAL RETARDATION","","0895-8017","10.1352/2008.113:439-452","","","2008-11","2025-04-20 13:39:13","2025-04-20 16:29:51","","439-452","","6","113","","","","","","","","","","","","","","WOS:000260551000003","","","","","/Users/tita/Zotero/storage/7CQZND6V/Munson et al. - 2008 - Evidence for latent classes of IQ in young children with autism spectrum disorder.pdf; ","http://www.ncbi.nlm.nih.gov/pubmed/19127655","30; 40; Adulthood (18 yrs &amp; Aged (65 yrs &amp; Autism Spectrum Disorders; Intelligence Quotient; Middle Age (40-64 yrs); older); Subtypes (Disorders); Thirties (30-39 yrs); Young Adulthood (18-29 yrs)","Adult; Autistic Disorder; Cognition Disorders; Female; Humans; Intelligence; Male; Neuropsychological Tests; Nonverbal Communication; Severity of Illness Index; Verbal Behavior","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"85YXD62P","journalArticle","1987","GOLDEN, RR; CAMPBELL, M; PERRY, R","A TAXOMETRIC METHOD FOR DIAGNOSIS OF TARDIVE-DYSKINESIA","JOURNAL OF PSYCHIATRIC RESEARCH","","0022-3956","10.1016/0022-3956(87)90024-0","","","1987","2025-04-20 13:39:13","2025-04-20 16:29:53","","233-241","","3","21","","","","","","","","","","","","","","WOS:A1987K701100003","","","","","","http://www.ncbi.nlm.nih.gov/pubmed/2890764","Autism Spectrum Disorders; Childhood (birth-12 yrs); Haloperidol; Preschool Age (2-5 yrs); Psychodiagnosis; School Age (6-12 yrs); Statistical Analysis; Tardive Dyskinesia; Taxonomies","Antipsychotic Agents; Autistic Disorder; Child; Child, Preschool; Dyskinesia, Drug-Induced; Humans; Mathematics; Models, Theoretical","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"B6NQCYSD","journalArticle","2007","Haslam, N.","The latent structure of mental disorders: A taxometric update on the categorical vs dimensional debate","Current Psychiatry Reviews","","","10.2174/157340007781369685","https://www.scopus.com/inward/record.uri?eid=2-s2.0-34548297021&doi=10.2174%2f157340007781369685&partnerID=40&md5=c743d4ff0d3dc5c93175ac5601dfc7e0","","2007","2025-04-20 16:13:38","2025-04-20 16:29:47","","172-177","","3","3","","","","","","","","","","","","","Scopus","","","","","","","","Attention Deficit Disorder with Hyperactivity; Major Depression; Mental Disorders; Posttraumatic Stress Disorder; Schizophrenia; Statistical Analysis; Subtypes (Disorders); Taxonomies","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WH37KITH","journalArticle","2023","Frazier, Thomas W.; Chetcuti, Lacey; Al‐Shaban, Fouad A.; Haslam, Nick; Ghazal, Iman; Klingemier, Eric W.; Aldosari, Mohammed; Whitehouse, Andrew J. O.; Youngstrom, Eric A.; Hardan, Antonio Y.; Uljarević, Mirko","Categorical versus dimensional structure of autism spectrum disorder: A multi‐method investigation.","JCPP Advances","","","","https://research.ebsco.com/linkprocessor/plink?id=c6cafc3f-467c-3dd5-b876-d7a13bfe04a9","Background A key question for any psychopathological diagnosis is whether the condition is continuous or discontinuous with typical variation. The primary objective of this study was to use a multi‐method approach to examine the broad latent categorical versus dimensional structure of autism spectrum disorder (ASD). Method Data were aggregated across seven independent samples of participants with ASD, other neurodevelopmental disorders (NDD), and non‐ASD/NDD controls (aggregate Ns = 512–16,755; ages 1.5–22). Scores from four distinct phenotype measures formed composite “indicators” of the latent ASD construct. The primary indicator set included eye gaze metrics from seven distinct social stimulus paradigms. Logistic regressions were used to combine gaze metrics within/across paradigms, and derived predicted probabilities served as indicator values. Secondary indicator sets were constructed from clinical observation and parent‐report measures of ASD symptoms. Indicator sets were submit","2023","2025-04-20 16:19:15","2025-04-20 16:19:15","","null-null","","null","null","","","","","","","","","","","","","","","","","Citation Key: 2023-49956-00120230221","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7F82D28Q","document","2022","Boisjoli, Jessica Ann","A taxometric analysis of autism spectrum disorders in toddlers.","","","","","https://research.ebsco.com/linkprocessor/plink?id=e04bbf41-d9da-3191-a197-5606acf4e8ce","Autism Spectrum Disorders (ASD) are a group of neurodevelopmental disorders that are generally first diagnosed in childhood. With the advances in technology to identify this group of disorders, children are being identified at younger and younger ages. Early identification of ASD is critical due to the beneficial effects of early intensive behavioral interventions. While children are being diagnosed with the disorder at very high rates, etiology and definitions of the disorders are still being investigated. Great variability exists with regard to symptoms between individuals. Additionally, less is known about symptom expression in individuals without ASD and symptoms of ASD occurring as a discrete category or along a dimension across populations. Taxometric analysis was employed to determine the underlying latent structure of ASD in toddlers at risk for developmental disabilities. A dimensional latent structure of ASD in a population of toddlers at risk for developmental disabilities","2022","2025-04-20 16:19:15","2025-04-20 16:19:15","","","","","","","","","","","","","Dissertation Abstracts International: Section B: The Sciences and Engineering","","","","","","","","","Citation Key: 2022-81475-25920220101 Type: $type tex.entrytype: masterthesis","","","","At Risk Populations; Autism Spectrum Disorders; Child Characteristics; Childhood (birth-12 yrs); Infancy (2-23 mo); Preschool Age (2-5 yrs)","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"5AGXE5I2","bookSection","2018","Marcus, David K.; Norris, Alyssa L.","Taxometric analysis.","The SAGE handbook of personality and individual differences: The science of personality and individual differences.","","","","https://research.ebsco.com/linkprocessor/plink?id=d1ad9057-cd90-3044-90e7-4ddd0e554413","The taxometric method provides an empirical approach to assess the latent structure (categorical or dimensional) of a construct. Each of the procedures that comprise the taxometric method is conceptually and mathematically distinct. The three primary taxometric procedures are: Means Above Minus Below a Cut (MAMBAC), Paul E. Meehl and Leslie J. Yonce (see record [rid]1995-08099-001[/rid]); MAXimum covariance (MAXCOV), Paul E. Meehl and Leslie J. Yonce (see record [rid]1996-05514-005[/rid]) and its multivariate extension, MAXimum EIGenvalue, and Latent Mode, Neils G. Waller and Paul E. Meehl (see record [rid]1998-07604-000[/rid]). The primary way in which all three of these taxometric procedures were interpreted was by examining the shape of the graphs they yielded. Taxometric analysis is focused on the latent level of analysis, and is thus a form of statistical analysis concerned with the unobservable nature of constructs. However, there are various statistical approaches to determinin","2018","2025-04-20 16:19:15","2025-04-20 16:19:15","","485-502","","","null","","","","null","","","","null","","","","","","","","","Citation Key: 2018-21508-02220180101 Number: null Section: Taxometric analysis. Type: $type","","","","Analysis of Covariance; Cluster Analysis; Statistical Analysis; Taxonomies","","","","","","","","","","","","","","","","","","","","","null","","","","","","","","","","","","","","","","","","","","","","","","","",""
"FPQSSKD9","document","2006","Clemons, Susan D.","A taxometric comparison of attention deficit hyperactive disorder: Inattentive subtype and combined subtype.","","","","","https://research.ebsco.com/linkprocessor/plink?id=03d321c9-6249-390d-9639-9de020c77f90","The DSM-IV (APA, 1994) diagnostic criteria for the Attention Deficit Hyperactivity Disorders (ADHD) identify 4 subtypes of ADHD. Research into the subtypes suggests that the combined subtype of ADHD and the inattentive subtype of ADHD have qualities unique enough that they might be different disorders possessing unique age of onset, unique comorbid status with other psychological disorders, and unique learning abilities. That they share inattention deficits and may share comorbid psychological disorders has complicated the research into differences. The present research applied taxometric analyses to answer the question. Archival data of combined clinical and school samples of children with ADHD (N=398) were tested using MAXCOV and MAMBAC analyses. Indicators tested were inattention, hyperactivity, impulsivity and sluggish cognitive tempo. The MAXCOV successfully completed the analyses on the indicators inattention, hyperactivity and impulsivity; and divided the sample by hyperactivit","2006","2025-04-20 16:19:15","2025-04-20 16:19:15","","","","","","","","","","","","","Dissertation Abstracts International: Section B: The Sciences and Engineering","","","","","","","","","Citation Key: 2006-99014-22720060101 Type: $type tex.entrytype: masterthesis","","","","Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Childhood Development; Comorbidity; Diagnosis; Impulsiveness; Subtypes (Disorders); Tempo","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HIXS655H","journalArticle","2007","Pineda, David A.; Aguirre-Acevedo, Daniel Camilo; Lopera, Francisco; Pineda, Daniel A.; Arcos-Burgos, Mauricio","Taxometría de conglomerados del trastorno por déficit de atención/hiperactividad con análisis de clases latentes y de correspondencias.","Universitas Psychologica","","","","https://research.ebsco.com/linkprocessor/plink?id=cfcaf5ee-51d3-3332-a4b3-65647d2745bf","Attention deficit/hyperactivity disorder (ADHD) has heterogeneous symptoms with diverse grades of severity. Latent class cluster analysis (LCCA) can be used to classify children, using direct data from any instrument that reports these symptoms, without previous gold standard diagnosis. One ADHD symptoms checklist, and one ADHD comorbidities questionnaire were used. LCCAs were developed for each instrument, which were administered to a sample of 540 children and adolescents, aged 4-17 years, from the regular school of Manizales-Colombia. A simple correspondence analysis (SCA) was done to determine the relationships between the groups classified from both LCCAs. Six clusters were obtained from ADHD checklist and five from the ADHD comorbidities questionnaire. SCA found four independent groups, derived from the concordances between the 11 clusters obtained by the LCCAs from both instruments. These findings suggest that LCCA and SCA can be use as accurate taxometric procedures to classif","2007","2025-04-20 16:19:15","2025-04-20 16:19:15","","409-423","","2","6","","","","","","","","","","","","","","","","","Citation Key: 2008-01388-01720070101","","","","Adolescence (13-17 yrs); Attention Deficit Disorder with Hyperactivity; Childhood (birth-12 yrs); Cluster Analysis; Comorbidity; Preschool Age (2-5 yrs); School Age (6-12 yrs); Severity (Disorders); Symptoms","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z3JXTC4T","journalArticle","2012","Haslam, N.; Holland, E.; Kuppens, P.","Categories ¡i¿versus¡/i¿ dimensions in personality and psychopathology: A quantitative review of taxometric research.","Psychological Medicine","","","","https://research.ebsco.com/linkprocessor/plink?id=2e73d47c-b4c8-388c-82ec-63f45850d661","Taxometric research methods were developed by Paul Meehl and colleagues to distinguish between categorical and dimensional models of latent variables. We have conducted a comprehensive review of published taxometric research that included 177 articles, 311 distinct findings and a combined sample of 533 377 participants. Multilevel logistic regression analyses have examined the methodological and substantive variables associated with taxonic (categorical) findings. Although 38.9","2012","2025-04-20 16:19:15","2025-04-20 16:19:15","","903-920","","5","42","","","","","","","","","","","","","","","","","Citation Key: 2012-08848-00320120501","","","","Affective Disorders; Anxiety Disorders; Externalization; Personality Disorders; Personality Traits; Psychopathology","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
